Pageviews Iniciar,Pageviews Visualizações de página,Pageviews Participações
2020-02,"9,049",257
2020-03,"659,485","61,190"
2020-04,"1,831,802","246,286"
2020-05,"2,031,244","282,014"
2020-06,"2,091,407","269,819"
2020-07,"73,091","5,128"
2020-08,"3,304,412","348,826"
2020-09,"3,516,050","354,766"
2020-10,"2,953,131","286,908"
2020-11,"2,971,864","265,533"
2020-12,"1,914,406","102,689"
2021-01,"47,073",622
2021-02,"991,065","76,730"
2021-03,"3,400,737","316,788"
2021-04,"3,409,094","266,116"
2021-05,"3,104,909","247,181"
2021-06,"3,591,501","209,694"
2021-07,"98,528","1,999"
2021-08,"2,282,361","192,205"
2021-09,"2,387,358","177,663"
2021-10,"2,315,953","154,960"
2021-11,"2,110,546","158,896"
2021-12,"2,088,686","96,237"
2022-01,"54,753","1,706"
2022-02,"817,705","37,100"
2022-03,"2,072,941","52,865"
2022-04,"1,934,898","44,559"
2022-05,"2,123,142","60,999"
2022-06,"2,263,471","48,093"
2022-07,"40,806",220
2022-08,"1,574,159","36,067"
2022-09,"2,420,014","61,817"
2022-10,"2,174,613","54,320"
2022-11,"2,367,230","61,157"
2022-12,"2,200,865","68,531"
2023-01,"74,958","1,678"
2023-02,"803,139","13,450"
2023-03,"2,876,327","67,303"
2023-04,"2,647,239","58,615"
2023-05,"3,014,782","75,761"
2023-06,"4,350,576","151,537"
2023-07,"62,446",401
2023-08,"1,743,118","44,563"
2023-09,"2,490,513","66,330"
2023-10,"2,568,820","61,387"
2023-11,"2,839,685","70,291"
2023-12,"3,309,308","139,755"
2024-01,"40,389",141
2024-02,"955,138","17,626"
2024-03,"2,894,388","73,205"
2024-04,"3,613,302","89,631"
2024-05,"3,238,313","83,095"
2024-06,"5,345,650","188,344"
2024-07,"83,370",580
2024-08,"1,878,809","57,209"
2024-09,"2,608,117","84,257"
2024-10,"3,018,685","76,659"
2024-11,"3,562,173","86,753"
2024-12,"3,746,168","143,587"
2025-01,"57,663",308
2025-02,"1,878,081","45,056"
2025-03,"3,356,735","84,493"
2025-04,"4,026,050","94,647"
2025-05,"3,388,981","101,530"
2025-06,"4,585,196","188,999"
2025-07,"67,301",702
2025-08,"1,621,510","57,508"
2025-09,"2,505,799","92,844"
2025-10,"1,587,908","60,381"
