Pageviews By Course Category Categoria,Pageviews By Course Category Soma de exibições de página,Pageviews By Course Category Soma de participações
Course Home,"45,497,832",0
Files,"44,898,201",0
Assignments,"28,852,126","2,023,163"
Classic Quizzes,"6,846,930","2,326,362"
Discussions,"5,578,334","149,404"
Grades,"3,907,477",0
Conferences,"3,378,380","2,475,767"
Modules,"2,799,329",0
Announcements,"2,479,317",0
User Profiles,"1,543,962",0
Pages,"854,479","29,978"
Submissions,"503,029",0
Syllabus,"502,260",0
External Tools,"346,738",0
Collaborations,"237,467","27,682"
Calendars,"11,255",0
Outcomes,"3,457",0
