Courses Status,Concluded with Activity,Concluded without Activity,Published with Activity,Published without Activity,Unpublished
Courses Média,Courses Número de cursos com pontuação média na faixa,Courses Número de cursos com pontuação média na faixa,Courses Número de cursos com pontuação média na faixa,Courses Número de cursos com pontuação média na faixa,Courses Número de cursos com pontuação média na faixa
Below 10,93,,13,,
10 to 19,24,,5,,
20 to 29,62,,5,1,
30 to 39,207,3,16,,
40 to 49,582,7,45,,
50 to 59,"1,262",13,67,1,
60 to 69,"2,263",18,92,,
70 to 79,"3,244",26,129,,2
80 to 89,"3,423",26,155,,
90 to 99,"2,017",23,107,,
100 or Above,"2,767",39,94,5,
